word,clue,length
ЛИСТ,Написане повідомлення в конверті,4
КОНВЕРТ,Паперова обгортка для листа,7
МАРКА,Наліпка з номіналом на конверті,5
ШТЕМПЕЛЬ,Відбиток печатки на листі чи марці,8
ПОСИЛКА,Запакований вантаж, надісланий поштою,7
БАНДЕРОЛЬ,Поштове відправлення з друкованими матеріалами,9
ПОШТАР,Той, хто розносить листи й посилки,6
СКРИНЬКА,Ящик для приймання листів,8
АДРЕСА,Вказівка місця призначення відправлення,6
ІНДЕКС,Числовий код поштового відділення,6
ТЕЛЕГРАМА,Термінове коротке повідомлення проводами,9
ТЕЛЕФОН,Пристрій для передачі голосу на відстань,7
АНТЕНА,Пристрій для прийому чи випромінювання сигналу,6
КУРЄР,"Той, хто особисто доставляє відправлення",5
ВІДПРАВНИК,Той, хто надсилає лист чи посилку,10
