word,clue,length
ГЛИНА,Пластичний природний матеріал для ліплення,5
ГОНЧАР,Майстер, що виготовляє посуд з глини,6
ГЛЕЧИК,Посудина з вузькою шийкою для рідини,6
ГОРЩИК,Округла глиняна посудина для страв,6
МИСКА,Округла посудина для їжі без ручок,5
ВАЗА,Декоративна посудина для квітів,4
ЧЕРЕПОК,Уламок глиняного посуду,7
КАХЛЯ,Оздоблена плитка з випаленої глини,5
ГЛАЗУР,Скловидне покриття на кераміці,6
ЖОРНО,Круглий камінь для помелу зерна,5
КЕРАМІКА,Вироби з випаленої глини,8
СТАТУЕТКА,Невелика скульптурна фігурка,9
БАРЕЛЬЄФ,Опукле зображення на площині,8
МОЗАЇКА,Зображення з дрібних кольорових шматочків,7
ФРЕСКА,Розпис по вологій штукатурці,6
