word,clue,length
ВЧИТЕЛЬ,Той, хто навчає дітей у школі,7
ВИКЛАДАЧ,Той, хто читає лекції студентам,8
ПРОФЕСОР,Найвище наукове звання у виші,8
НАУКОВЕЦЬ,Той, хто досліджує явища й факти,9
ІНЖЕНЕР,Фахівець із проєктування й техніки,7
АРХІТЕКТОР,Той, хто проєктує будівлі,10
БУДІВЕЛЬНИК,Той, хто зводить споруди,11
МУЛЯР,Той, хто кладе цеглу чи камінь,5
ТЕСЛЯР,Той, хто працює з деревом сокирою,6
СТОЛЯР,Той, хто виготовляє меблі з дерева,6
СЛЮСАР,Той, хто ремонтує металеві механізми,6
ЗВАРЮВАЛЬНИК,Той, хто з'єднує метал високою температурою,12
ЕЛЕКТРИК,Той, хто проводить і ремонтує проводку,8
САНТЕХНІК,Той, хто ремонтує труби й крани,9
МЕХАНІК,Той, хто ремонтує двигуни й машини,7
ВОДІЙ,Той, хто керує автомобілем,5
МОРЯК,Той, хто працює на кораблі в морі,5
РИБАЛКА,Той, хто ловить рибу,7
ФЕРМЕР,Той, хто веде господарство на землі,6
ТРАКТОРИСТ,Той, хто керує трактором,10
КОМБАЙНЕР,Той, хто керує збиральною машиною на полі,9
ПАСІЧНИК,Той, хто доглядає бджолині вулики,8
САДІВНИК,Той, хто доглядає сад,8
ЛІСНИК,Той, хто охороняє й доглядає ліс,6
ПЕКАР,Той, хто випікає хліб,5
КОНДИТЕР,Той, хто готує торти й солодощі,8
КУХАР,Той, хто готує страви,5
ОФІЦІАНТ,Той, хто подає страви в закладі,8
БАРМЕН,Той, хто готує напої за барною стійкою,6
ПЕРУКАР,Той, хто стриже й укладає волосся,7
ВІЗАЖИСТ,Той, хто наносить макіяж,8
КОСМЕТОЛОГ,Фахівець із догляду за шкірою обличчя,10
МАНІКЮРНИЦЯ,Фахівчиня з догляду за нігтями рук,11
МАСАЖИСТ,Той, хто розминає тіло для розслаблення,8
КРАВЕЦЬ,Той, хто шиє одяг,7
ШВАЧКА,Жінка, що шиє одяг,6
ШЕВЕЦЬ,Той, хто лагодить і шиє взуття,6
ЮВЕЛІР,Той, хто виготовляє прикраси з дорогоцінних металів,6
ПРОДАВЕЦЬ,Той, хто відпускає товар покупцям,9
КАСИР,Той, хто приймає оплату на касі,5
БУХГАЛТЕР,Той, хто веде фінансовий облік,9
ЕКОНОМІСТ,Фахівець із питань господарства й фінансів,9
БАНКІР,Той, хто керує фінансовою установою,6
ЮРИСТ,Фахівець із правових питань,5
АДВОКАТ,Той, хто захищає інтереси клієнта в суді,7
НОТАРІУС,Той, хто засвідчує документи,8
ПРОКУРОР,Той, хто підтримує звинувачення в суді,8
ПОЛІЦЕЙСЬКИЙ,Той, хто підтримує громадський порядок,12
СЛІДЧИЙ,Той, хто розслідує злочини,7
ПОЖЕЖНИК,Той, хто гасить вогонь,8
РЯТУВАЛЬНИК,Той, хто допомагає в надзвичайних ситуаціях,11
ОХОРОНЕЦЬ,Той, хто стежить за безпекою об'єкта,9
СОЛДАТ,Рядовий військовослужбовець,6
ОФІЦЕР,Керівний склад у війську,6
ГЕНЕРАЛ,Найвище військове звання,7
ЛЬОТЧИК,Той, хто керує літаком,7
КОСМОНАВТ,Той, хто літає в космос,9
ЖУРНАЛІСТ,Той, хто пише новини для медіа,9
БІБЛІОТЕКАР,Той, хто видає книжки в читальні,11
ЕКСКУРСОВОД,Той, хто проводить огляд визначних місць,11
ГІД,Той, хто супроводжує туристів,3
СТЮАРДЕСА,Жінка, що обслуговує пасажирів у літаку,9
ДИСПЕТЧЕР,Той, хто координує рух транспорту,9
МАШИНІСТ,Той, хто керує потягом,8
ПРОВІДНИК,Той, хто супроводжує пасажирів у вагоні,9
ЛИСТОНОША,Той, хто розносить пошту,9
ДВІРНИК,Той, хто прибирає подвір'я,7
ПОКОЇВКА,Жінка, що прибирає номери в готелі,8
НЯНЬКА,Жінка, що доглядає чужих дітей,6
ВИХОВАТЕЛЬ,Той, хто працює з дітьми в садочку,10
ПРОГРАМІСТ,Той, хто пише комп'ютерний код,10
ТЕСТУВАЛЬНИК,Той, хто перевіряє програму на помилки,12
ДИЗАЙНЕР,Той, хто створює зовнішній вигляд речей,8
МАРКЕТОЛОГ,Фахівець із просування товарів на ринку,10
КЕРІВНИК,Той, хто очолює колектив,8
ДИРЕКТОР,Найвища посадова особа установи,8
ЗАСНОВНИК,Той, хто створив організацію чи справу,9
ПІДПРИЄМЕЦЬ,Той, хто веде власну справу,11
ІНВЕСТОР,Той, хто вкладає гроші заради прибутку,8
ДИПЛОМАТ,Той, хто представляє країну за кордоном,8
ПОСОЛ,Офіційний представник держави в іншій країні,5
ПОЛІТИК,Той, хто бере участь у державних справах,7
ДЕПУТАТ,Обраний представник у законодавчому органі,7
МІНІСТР,Керівник галузі уряду,7
МЕР,Керівник міської влади,3
СВЯЩЕНИК,Служитель релігійного культу,8
МОНАХ,Чоловік, що зрікся мирського життя заради віри,5
ЧЕРНИЦЯ,Жінка, що зреклася мирського життя заради віри,7
ПАСТОР,Протестантський священнослужитель,6
