word,clue,length
СКЛЯР,Той, хто вставляє й ріже скло,5
БЛЯХАР,Той, хто працює з листовим металом,6
КАМЕНЯР,Той, хто обробляє камінь,7
РІЗЬБЯР,Той, хто вирізьблює візерунки в дереві чи камені,7
ГОНЧАР,Той, хто ліпить і випалює глиняний посуд,6
ЛИВАР,Той, хто відливає вироби з розплавленого металу,5
КОВАЛЬ,Той, хто кує метал молотом,6
БОНДАР,Той, хто виготовляє бочки,6
ДЕГУСТАТОР,Той, хто визначає якість напою чи страви на смак,10
БАРИСТА,Той, хто готує каву на замовлення,7
ФЛОРИСТ,Той, хто складає квіткові композиції,7
ІНКАСАТОР,Той, хто перевозить готівку під охороною,9
ЕКСПЕРТ,Той, хто дає фахову оцінку,7
КОНСУЛЬТАНТ,Той, хто дає фахові поради,11
ІНСТРУКТОР,Той, хто навчає практичних навичок,10
