word,clue,length
ЛОКОМОТИВ,Тягова машина потяга,9
ВАГОН,Одна секція потяга,5
РЕЙКА,Металева смуга для руху колеса потяга,5
ШПАЛА,Поперечна опора під рейками,5
ПЕРОН,Платформа для посадки на потяг,5
СЕМАФОР,Сигнальний пристрій на залізниці,7
ТУНЕЛЬ,Прохід крізь гору чи під землею,6
ВІКНО,Отвір у вагоні для огляду,5
КУПЕ,Окреме відділення у вагоні,4
ПРОВІДНИК,Той, хто обслуговує пасажирів у вагоні,9
СТРІЛОЧНИК,Той, хто переводить залізничні стрілки,10
ШЛАГБАУМ,Опускний бар'єр на переїзді,8
ТЕПЛОВОЗ,Локомотив з двигуном внутрішнього згоряння,8
ЕЛЕКТРИЧКА,Приміський потяг, що курсує на короткі відстані,10
КОЛІЯ,Пара рейок для руху потяга,5
