word,clue,length
РЕЛІГІЯ,Віра в надприродне й пов'язані обряди,7
ХРИСТИЯНСТВО,Релігія, заснована на вченні Христа,12
ІСЛАМ,Релігія, заснована пророком Мухаммедом,5
БУДДИЗМ,Релігія, заснована на вченні Будди,7
ІУДАЇЗМ,Найдавніша монотеїстична релігія,7
ІНДУЇЗМ,Політеїстична релігія Індії,7
АТЕЇЗМ,Заперечення існування богів,6
ХРАМ,Споруда для богослужінь,4
ІКОНА,Священне зображення для молитви,5
МОЛИТВА,Звернення до Бога словами,7
ПРИЧАСТЯ,Обряд єднання з Богом через хліб і вино,8
СПОВІДЬ,Визнання гріхів перед священником,7
ГРІХ,Порушення релігійних заповідей,4
ЗАПОВІДЬ,Релігійне правило поведінки,8
ПРОРОК,Той, хто передає волю Бога людям,6
АПОСТОЛ,Учень, що поширював вчення Христа,7
АНГЕЛ,Небесний посланець Бога,5
ДИЯВОЛ,Уособлення зла в релігії,6
ПЕКЛО,Місце покарання грішників після смерті,5
РАЙ,Місце вічного блаженства праведників,3
ДУША,Безсмертна нематеріальна частина людини,4
ВІРУЮЧИЙ,Той, хто дотримується релігії,8
ПАЛОМНИК,Той, хто подорожує до святого місця,8
ПІСТ,Період утримання від скоромної їжі,4
ОБРЯД,Усталена релігійна дія за традицією,5
РИТУАЛ,Послідовність символічних дій,6
ХРЕЩЕННЯ,Обряд прийняття у християнську віру,8
ВІНЧАННЯ,Церковний обряд одруження,8
ПАНАХИДА,Церковна служба за померлого,8
ПАЛОМНИЦТВО,Подорож до святого місця,11
СВЯТИЙ,Особа, визнана взірцем побожності,6
ДУХОВЕНСТВО,Служителі релігійного культу разом,11
БІБЛІЯ,Священна книга християнства,6
КОРАН,Священна книга ісламу,5
ТОРА,Священна книга юдаїзму,4
НОВОРІЧЧЯ,Свято зустрічі нового календарного року,9
ГЕЛОУІН,Осіннє свято з гарбузами й костюмами,7
ВАЛЕНТИНКА,Листівка на свято закоханих,10
