word,clue,length
ХРАМ,Споруда для богослужінь,4
ІКОНА,Живописне зображення святого,5
СВЯЩЕНИК,Служитель релігійного культу,8
МОЛИТВА,Звернення до Бога словами,7
ПІСТ,Період утримання від скоромної їжі,4
ПРОЩА,Паломництво до святого місця,5
ПАЛОМНИК,Той, хто йде до святого місця,8
ЧЕНЕЦЬ,Служитель, що живе в монастирі,6
МОНАСТИР,Обитель ченців чи черниць,8
ДЗВІНИЦЯ,Вежа з дзвонами при храмі,8
КУПОЛ,Округле завершення храму,5
ІКОНОСТАС,Стіна з іконами в храмі,9
ХРЕЩЕННЯ,Обряд прийняття до церкви,8
СПОВІДЬ,Визнання гріхів перед священиком,7
ОБРЯД,Усталена релігійна дія за традицією,5
