word,clue,length
ГЕКОН,Дрібна ящірка, що бігає стінами й стелею,5
АГАМА,Ящірка, що змінює колір під сонцем,5
СЦИНК,Ящірка з гладкою блискучою лускою,5
АНАКОНДА,Найважча змія світу, що живе у воді,8
МІДЯНКА,Неотруйна змія з мідним відблиском,7
ВУЖ,Неотруйна змія з жовтими плямами на голові,3
ЯЩУР,Давній панцирний плазун, предок динозаврів,4
ДИНОЗАВР,Вимерлий велетенський плазун минулих епох,8
ТИРАНОЗАВР,Найвідоміший хижий динозавр,10
ТРИЦЕРАТОПС,Рогатий рослиноїдний динозавр,11
ІХТІОЗАВР,Морський плазун часів динозаврів,9
МАМОНТ,Вимерлий волохатий родич слона,6
ІКЛО,Гострий видовжений зуб хижака,4
ПАЗУР,Гострий кігтик хижака чи птаха,5
