word,clue,length
ЩУКА,Хижа прісноводна риба з витягнутим тілом,4
СОМ,Велика прісноводна риба з вусами,3
КАРАСЬ,Дрібна прісноводна риба, поширена у ставках,6
ОКУНЬ,Смугаста хижа прісноводна риба,5
ЛИНЬ,Прісноводна риба з товстим слизьким тілом,4
ЛЯЩ,Пласка прісноводна риба з високою спиною,3
СУДАК,Хижа прісноводна риба з гострими зубами,5
ПЛОТВА,Дрібна зграйна прісноводна риба,6
ВЮН,Довга слизька прісноводна риба, що живе в мулі,3
ФОРЕЛЬ,Плямиста риба чистих гірських річок,6
ЛОСОСЬ,Червонувата риба, що йде на нерест проти течії,6
ОСЕТЕР,Велика цінна риба з кістяними пластинами на тілі,6
ВЕРХОВОДКА,Дрібна риба, що плаває біля поверхні,10
ЙОРЖ,Дрібна колюча річкова риба,4
РАК,Прісноводна панцирна істота з клешнями,3
