word,clue,length
ДОН,Річка, що впадає в Азовське море,3
ІНД,Річка, що дала назву цілому субконтиненту,3
КОЛОРАДО,Річка, що прорізала Гранд-Каньйон,8
ОГАЙО,Велика притока Міссісіпі на сході США,5
РОНА,Річка, що бере початок у швейцарських Альпах,4
ЛУАРА,Найдовша річка Франції,5
ОДЕР,Річка на кордоні Німеччини й Польщі,4
ІРТИШ,Найдовша притока в світі,5
ТАХО,Найдовша річка Піренейського півострова,4
ДАРЛІНГ,Одна з головних річок Австралії,7
МУРРЕЙ,Найдовша річка Австралії,6
СУДЕТИ,Гори на кордоні Чехії, Польщі й Німеччини,6
ТАТРИ,Найвищий масив Карпат на кордоні Польщі й Словаччини,5
ПАМІР,Гірський вузол, який звуть дахом світу,5
АЛТАЙ,Гори на стику Росії, Китаю, Монголії й Казахстану,5
АПЕННІНИ,Гірський хребет, що тягнеться через весь Італійський півострів,8
КОРДИЛЬЄРИ,Найдовший гірський ланцюг обох Америк,10
ДЕНАЛІ,Найвища вершина Північної Америки,6
АКОНКАГУА,Найвища вершина Південної Америки й обох півкуль,9
