word,clue,length
ЮПІТЕР,Верховний бог римського пантеону, володар неба,6
ЮНОНА,Богиня шлюбу, дружина верховного бога Риму,5
НЕПТУН,Бог морів у римській міфології,6
ПЛУТОН,Бог підземного царства в римській міфології,6
МІНЕРВА,Богиня мудрості й ремесел у Римі,7
МАРС,Бог війни в римській міфології,4
ВЕНЕРА,Богиня кохання й краси в римській міфології,6
ВУЛКАН,Бог вогню й ковальства в римській міфології,6
МЕРКУРІЙ,Бог торгівлі й посланець богів у Римі,8
ДІАНА,Богиня полювання й місяця в римській міфології,5
ВЕСТА,Богиня домашнього вогнища в Римі,5
ЦЕРЕРА,Богиня врожаю й родючості в Римі,6
БАХУС,Бог вина й веселощів у римській міфології,5
ЯНУС,Дволикий бог початку й кінця,4
ФОРТУНА,Богиня долі й випадку,7
