word,clue,length
АЛГЕБРА,Розділ математики про рівняння й вирази,7
ГЕОМЕТРІЯ,Розділ математики про фігури й простір,9
ФІЗКУЛЬТУРА,Урок, присвячений фізичним вправам,11
ІНФОРМАТИКА,Предмет про комп'ютери й програми,11
КРЕСЛЕННЯ,Предмет про технічні малюнки,9
ГЕОГРАФІЯ,Предмет про материки, країни й клімат,9
АСТРОНОМІЯ,Наука про небесні тіла,10
ЗООЛОГІЯ,Наука про тварин,8
БОТАНІКА,Наука про рослини,8
АНАТОМІЯ,Наука про будову тіла,8
ЕКОЛОГІЯ,Наука про взаємодію організмів із середовищем,8
ФІЛОСОФІЯ,Наука про буття, пізнання й цінності,9
ПЕДАГОГІКА,Наука про навчання й виховання,10
ПСИХОЛОГІЯ,Наука про психіку та поведінку людини,10
СОЦІОЛОГІЯ,Наука про суспільство,10
