word,clue,length
ЗОШИТ,Зшиті аркуші паперу для записів,5
ОЛІВЕЦЬ,Дерев'яний стрижень для письма графітом,7
РУЧКА,Письмове приладдя з чорнилом,5
ГУМКА,Засіб для стирання олівцевого запису,5
ЛІНІЙКА,Планка з поділками для вимірювання й креслення,7
ЦИРКУЛЬ,Інструмент для креслення кіл,7
ПЕНАЛ,Футляр для зберігання письмового приладдя,5
ПІДРУЧНИК,Книга для навчання за предметом,9
ЗБІРНИК,Книга із зібраними задачами чи текстами,7
КРЕЙДА,Матеріал для письма на дошці,6
ДОШКА,Поверхня для письма крейдою,5
ГЛОБУС,Модель земної кулі,6
АТЛАС,Збірка географічних карт,5
ПОРТФЕЛЬ,Сумка для шкільного приладдя,8
ЩОДЕННИК,Зошит для записів оцінок та розкладу,8
