word,clue,length
МІКРОСКОП,Прилад для розглядання дрібних об'єктів,9
ТЕЛЕСКОП,Прилад для спостереження за зорями,8
БАРОМЕТР,Прилад для вимірювання атмосферного тиску,8
ТЕРМОМЕТР,Прилад для вимірювання температури,9
ГІГРОМЕТР,Прилад для вимірювання вологості повітря,9
СЕЙСМОГРАФ,Прилад, що фіксує коливання земної кори,10
ОСЦИЛОГРАФ,Прилад для запису форми електричних сигналів,10
КОМПАС,Прилад, що вказує на північ,6
СЕКСТАНТ,Морський прилад для визначення широти за зорями,8
АСТРОЛЯБІЯ,Давній прилад для вимірювання висоти світил,10
ТЕОДОЛІТ,Прилад для вимірювання кутів на місцевості,8
АМПЕРМЕТР,Прилад для вимірювання сили струму,9
ВОЛЬТМЕТР,Прилад для вимірювання напруги,9
МАНОМЕТР,Прилад для вимірювання тиску газу чи рідини,8
СПІДОМЕТР,Прилад, що показує швидкість руху,9
ОДОМЕТР,Прилад для підрахунку пройденої відстані,7
ДОЗИМЕТР,Прилад для вимірювання рівня радіації,8
БАТИСКАФ,Апарат для занурення на великі глибини,8
ЛАЗЕР,Пристрій, що випромінює вузький пучок світла,5
МЕТРОНОМ,Прилад, що відбиває рівномірний темп,8
КАЛЬКУЛЯТОР,Пристрій для обчислень,11
АБАК,Стародавній рахунковий прилад із кульками,4
ГЛОБУС,Об'ємна модель земної кулі,6
ЛІНЗА,Прозоре тіло, що заломлює промені світла,5
ПРИЗМА,Прозоре тіло, що розкладає світло на спектр,6
МАГНІТ,Тіло, що притягує залізо,6
ЕЛЕКТРОД,Провідник, що подає струм у розчин чи газ,8
КОНДЕНСАТОР,Елемент, що накопичує електричний заряд,11
РЕЗИСТОР,Елемент, що обмежує силу струму,8
ТРАНЗИСТОР,Напівпровідниковий елемент підсилення сигналу,10
АКУМУЛЯТОР,Пристрій, що накопичує і віддає струм,10
ГЕНЕРАТОР,Пристрій, що перетворює рух на струм,9
ТУРБІНА,Пристрій, що перетворює потік на обертання,7
РЕАКТОР,Установка для керованої ядерної реакції,7
КАТАЛІЗАТОР,Речовина, що прискорює хімічну реакцію,11
ПІПЕТКА,Лабораторний інструмент для набору краплин,7
ПРОБІРКА,Вузька скляна посудина для дослідів,8
КОЛБА,Скляна посудина для нагрівання розчинів,5
МЕНЗУРКА,Посудина з поділками для вимірювання об'єму,8
РЕТОРТА,Посудина з відведеною трубкою для перегонки,7
