word,clue,length
МИНТАЙ,Популярна морська риба для риб'ячих паличок,6
ЛЯЩ,Пласка прісноводна риба зі сріблястою лускою,3
ПЛОТВА,Дрібна прісноводна риба з червонуватими плавцями,6
КАРАСЬ,Невибаглива прісноводна риба ставків,6
САЗАН,Дикий предок коропа,5
ЙОРЖ,Колюча дрібна річкова риба,4
БИЧОК,Дрібна придонна риба чорноморського узбережжя,5
БІЛУГА,Найбільша прісноводна риба, цінна чорною ікрою,6
ОСЕТЕР,Риба з рядами кісткових пластин замість луски,6
СТЕРЛЯДЬ,Невеликий делікатесний різновид осетра,8
ІКРА,Риб'ячі яйця, делікатес до свята,4
РИФ,Підводна гряда з коралів чи каменю,3
ДЮГОНЬ,Морський ссавець, що пасеться на морській траві,6
ЛАМАНТИН,Товстий повільний водний ссавець тропічних вод,8
МУРЕНА,Хижа вугроподібна риба коралових рифів,6
СКАТ,Плоска риба з крилоподібними плавцями,4
МАРЛІН,Велика швидка риба з довгим гострим носом,6
БАРАКУДА,Хижа риба з гострими, як лезо, зубами,8
ПІРАНЬЯ,Дрібна хижа риба амазонських річок,7
ОМАР,Великий морський рак з потужними клешнями,4
КАШАЛОТ,Найбільший з зубатих китів,7
ТРЕПАНГ,Морська істота-делікатес, що повзає по дну,7
