word,clue,length
АДРІАТИКА,Море між Італією і Балканами,9
БАЛТИКА,Море на півночі Європи з бурштином,7
МАНШ,Протока між Британією і Францією,4
МАЛАККА,Протока між Малайзією та Індонезією,7
ДРЕЙК,Найширша й найбурхливіша протока у світі,5
МЕССІНА,Протока між Італією та Сицилією,7
САХЕЛЬ,Перехідна смуга між Сахарою і саванами,6
ПАМПА,Трав'яниста рівнина Аргентини,5
ТУНДРА,Безлісий регіон вічної мерзлоти на півночі,6
ТАЙГА,Хвойний ліс півночі Євразії й Америки,5
ПРЕРІЯ,Трав'яниста рівнина Північної Америки,6
ДЖУНГЛІ,Густий вологий тропічний ліс,7
АМАЗОНІЯ,Найбільший тропічний ліс планети,8
САВАНА,Трав'яниста рівнина з рідкими деревами в Африці,6
ФІОРД,Вузька морська затока між крутими скелями,5
ЛАГУНА,Мілководна затока, відділена косою від моря,6
АТОЛ,Кільцеподібний острів із коралів,4
АРХІПЕЛАГ,Група близько розташованих островів,9
ПІВОСТРІВ,Суходіл, з трьох боків оточений водою,9
ПЕРЕШИЙОК,Вузька смуга суходолу між двома морями,9
