word,clue,length
ГОЛКА,Тонкий гострий інструмент для шиття,5
НИТКА,Тонке скручене волокно для шиття,5
НАПЕРСТОК,Захисний ковпачок на палець при шитті,9
НОЖИЦІ,Ріжучий інструмент з двома лезами,6
ВИКРІЙКА,Паперовий шаблон деталі одягу,8
ТКАНИНА,Матеріал, зітканий з ниток,7
ГУДЗИК,Кругла застібка для одягу,6
БЛИСКАВКА,Застібка з двома рядами зубців,9
ШПУЛЬКА,Котушка з ниткою у швейній машині,7
ВИШИВКА,Візерунок, вишитий на тканині голкою,7
ШОВ,Лінія з'єднання тканини нитками,3
ЛЕКАЛО,Шаблон для креслення деталей одягу,6
КРІЙКА,Процес розкроювання тканини за шаблоном,6
МАНЕКЕН,Фігура для примірки одягу,7
КРАВЕЦЬ,Майстер пошиття одягу,7
