word,clue,length
ПОКУПЕЦЬ,Той, хто купує товар,8
КАСА,Місце розрахунку в магазині,4
ЧЕК,Документ про здійснену покупку,3
ГАРАНТІЯ,Обіцянка виправити дефект товару безкоштовно,8
ПОВЕРНЕННЯ,Віддача товару назад продавцю,10
РОЗПРОДАЖ,Масовий продаж зі значними знижками,9
КОШИК,Ємність для товарів під час покупок,5
ЦІННИК,Табличка з ціною на товарі,6
АСОРТИМЕНТ,Набір різних видів товару в наявності,10
ПОСТАЧАЛЬНИК,Той, хто забезпечує товаром,12
ОПТ,Продаж великими партіями,3
РОЗДРІБ,Продаж окремими одиницями кінцевому покупцю,7
БРЕНД,Впізнавана торгова марка,5
ЛОГОТИП,Графічний знак компанії чи бренду,7
