word,clue,length
ГУРКІТ,Сильний глухий шум,6
ТРІСК,Різкий короткий звук ламання,5
ШУРХІТ,Тихий звук тертя чи ковзання,6
СВИСТ,Пронизливий звук через стиснуті губи,5
ДЗВІН,Металевий звук чи предмет для нього,5
ГУДІННЯ,Протяжний низький звук,7
СКРИП,Різкий звук тертя дерева чи металу,5
ЛУНА,Повторення звуку від перешкоди,4
ГРІМ,Гучний звук під час грози,4
ШЕЛЕСТ,Тихий звук листя чи паперу,6
ХРУСТ,Звук ламкого предмета під тиском,5
ХРИП,Сиплий переривчастий звук дихання,4
ХЛЮПІТ,Звук рідини, що коливається,6
ГОМІН,Приглушений гул багатьох голосів,5
СТУКІТ,Повторюваний різкий звук удару,6
