word,clue,length
КОРІАНДР,Прянощі з ароматного насіння й зелені,8
ЗІРА,Гостра прянощі для плову й м'яса,4
КУРКУМА,Яскраво-жовта пряність із кореня,7
МУСКАТ,Ароматна пряність з горіха,6
ГВОЗДИКА,Пряність у вигляді сушених бутонів,8
ІМБИР,Гострий корінь з пекучим смаком,5
ВАНІЛЬ,Ароматна пряність зі стручка орхідеї,6
ФЕНХЕЛЬ,Ароматна рослина зі смаком аніса,7
ЧАБРЕЦЬ,Ароматна трав'яна приправа, тим'ян,7
РОЗМАРИН,Хвойна на вигляд ароматна трава,8
ОРЕГАНО,Італійська трав'яна приправа,7
БАЗИЛІК,Ароматна зелена трава для піци й салатів,7
МЯТА,Освіжаюча трава з ментоловим ароматом,4
АНІС,Прянощі з солодкуватим смаком,4
ХРІН,Гострий корінь для приправи,4
