word,clue,length
ХЕТТРИК,Три голи одного гравця в одному матчі,7
АСИСТ,Гольова передача,5
ВИДАЛЕННЯ,Усунення гравця з поля до кінця матчу,9
ЗАПАСНИЙ,Гравець, що чекає своєї черги на заміну,8
СКЛАД,Список гравців команди на матч,5
ФОРМАЦІЯ,Розташування гравців на полі,8
ТАКТИКА,План дій команди на матч,7
СТРАТЕГІЯ,Загальний задум досягнення перемоги,9
ЧВЕРТЬФІНАЛ,Матч за вихід до півфіналу,11
СРІБНИЙ,Той, хто здобув друге місце на змаганнях,7
БРОНЗОВИЙ,Той, хто здобув третє місце на змаганнях,9
ЗОЛОТИЙ,Той, хто здобув перше місце на змаганнях,7
ЛЕГІОНЕР,Гравець, що виступає за клуб іншої країни,8
