word,clue,length
ШПИГУН,Той, хто таємно збирає чужі секрети,6
РОЗВІДКА,Служба збору таємної інформації,8
АГЕНТ,Особа, що діє за дорученням розвідки,5
ШИФР,Система умовних знаків для приховування тексту,4
КОД,Умовна система знаків для передачі інформації,3
ПАРОЛЬ,Таємне слово для підтвердження особи,6
МАСКУВАННЯ,Приховування справжнього вигляду чи наміру,10
СТЕЖЕННЯ,Приховане спостереження за кимось,8
ЗАСІДКА,Прихована позиція для несподіваного нападу,7
ВИКРАДЕННЯ,Незаконне захоплення людини чи речі,10
ЗАРУЧНИК,Особа, утримувана силою для тиску на інших,8
ВИКУП,Гроші за звільнення заручника,5
СЕЙФ,Броньована шафа для цінностей,4
ВІДБИТОК,Слід пальця на поверхні,8
АЛІБІ,Доказ перебування в іншому місці під час злочину,5
