word,clue,length
ІСТОРІЯ,Шкільний предмет про минулі події,7
ЛІТЕРАТУРА,Шкільний предмет про художні твори,10
МОВА,Шкільний предмет про правила спілкування,4
ІНФОРМАТИКА,Шкільний предмет про комп'ютери,11
ФІЗКУЛЬТУРА,Шкільний предмет із фізичними вправами,11
МУЗИКА,Шкільний предмет про звуки й пісні,6
МАЛЮВАННЯ,Шкільний предмет про образотворче мистецтво,9
ТРУДОВЕ,Шкільний предмет із ручною працею,7
ЕКОНОМІКА,Наука про виробництво, обмін і споживання благ,9
ФІЛОСОФІЯ,Наука про сенс буття й пізнання,9
СОЦІОЛОГІЯ,Наука про суспільство та його устрій,10
ПЕДАГОГІКА,Наука про навчання й виховання,10
