word,clue,length
ФІШКА,Невеликий предмет для позначення ходу на дошці,5
КУБИК,Об'ємна фігура з шести граней для визначення числа,5
ДОШКА,Ігрова поверхня з клітинками чи полями,5
КАРТА,Аркуш з малюнком чи символами для гри,5
КОЛОДА,Повний набір ігрових карт,6
МАСТЬ,Одна з чотирьох груп ігрових карт,5
КОЗИР,Карта, що б'є всі інші,5
ХІД,Один етап дії гравця в грі,3
ТУР,Один цикл гри до завершення раунду,3
РАУНД,Один цикл змагання в грі,5
ОЧКО,Одиниця підрахунку результату,4
ПРАВИЛА,Встановлений порядок дій у грі,7
ГРАВЕЦЬ,Той, хто бере участь у грі,7
СУПЕРНИК,Той, проти кого грають,8
НІЧИЯ,Результат гри без переможця,5
