word,clue,length
ОКСАМИТ,Тканина з густим коротким ворсом,7
САТИН,Гладка блискуча бавовняна тканина,5
ТАФТА,Жорстка блискуча тканина для святкових суконь,5
ТЮЛЬ,Прозора сітчаста тканина для штор,4
ФЕТР,Валяна вовняна тканина без ниток,4
ФЛАНЕЛЬ,М'яка ворсиста тканина для теплого одягу,7
ДЕНІМ,Міцна бавовняна тканина для джинсів,5
ТВІД,Груба вовняна тканина в клітинку чи ялинку,4
МЕРЕЖИВО,Ажурна тканина з візерунками з ниток,8
ТРИКОТАЖ,В'язане полотно машинного виробництва,8
ФЛІС,М'який синтетичний утеплювальний матеріал,4
ПОЛІЕСТЕР,Синтетичне волокно з нафтопродуктів,9
НЕЙЛОН,Міцне синтетичне волокно,6
СПАНДЕКС,Дуже еластичне синтетичне волокно,8
ДРАП,Щільна тепла вовняна тканина для пальт,4
ВЕЛЮР,М'яка тканина з коротким густим ворсом,5
ШИФОН,Легка прозора повітряна тканина,5
ОРГАНЗА,Легка жорстка прозора тканина,7
ГІПЮР,Мереживна тканина з рельєфним візерунком,5
ВІЗЕРУНОК,Повторюваний декоративний малюнок,9
СМУЖКА,Візерунок з паралельних ліній,6
ГОРОШОК,Візерунок із дрібних кружечків,7
