word,clue,length
СЦЕНА,Майданчик для вистави,5
ГЛЯДАЧ,Той, хто дивиться виставу,6
АКТОР,Виконавець ролі на сцені,5
РЕЖИСЕР,Той, хто ставить виставу,7
АНТРАКТ,Перерва між діями вистави,7
ЛАШТУНКИ,Простір за сценою, прихований від глядача,8
ГРИМ,Косметика для зміни зовнішності актора,4
КУЛІСИ,Бічні завіси сцени,6
РЕПЕТИЦІЯ,Підготовче тренування перед виставою,9
ОПЛЕСКИ,Реакція глядачів після вдалого виступу,7
БІС,Вигук глядачів з проханням повторити номер,3
ФОЙЄ,Простір перед залом для відпочинку глядачів,4
АМФІТЕАТР,Місця, розташовані півколом уступами,9
ЖОНГЛЕР,Циркач, що підкидає кілька предметів одразу,7
КЛОУН,Комічний артист цирку,5
