word,clue,length
ХВИЛИНА,Шістдесят секунд,7
ГОДИНА,Шістдесят хвилин,6
ДОБА,Двадцять чотири години,4
ТИЖДЕНЬ,Сім днів поспіль,7
МІСЯЦЬ,Період приблизно з тридцяти днів у році,6
РІК,Дванадцять місяців,3
ДЕСЯТИЛІТТЯ,Проміжок часу з 10 років,11
СТОЛІТТЯ,Період у сто років,8
ТИСЯЧОЛІТТЯ,Проміжок часу з 1000 років,11
ЕПОХА,Тривалий період з характерними рисами,5
ЕРА,Великий відрізок часу в історії,3
ДАТА,Число, місяць і рік певної події,4
ЧИСЛО,Порядковий номер дня в місяці,5
СВЯТО,День урочистого відзначення події,5
БУДЕНЬ,Звичайний робочий день,6
РАНОК,Початок доби після сходу сонця,5
ДЕНЬ,Час від сходу до заходу сонця,4
ВЕЧІР,Частина доби перед ніччю,5
НІЧ,Темна частина доби,3
ПОЛУДЕНЬ,Середина дня,8
ПІВНІЧ,Середина ночі,6
СІЧЕНЬ,Перший місяць року,6
ЛЮТИЙ,Найкоротший місяць року,5
БЕРЕЗЕНЬ,Перший місяць весни,8
КВІТЕНЬ,Другий місяць весни,7
ТРАВЕНЬ,Останній місяць весни,7
ЧЕРВЕНЬ,Перший місяць літа,7
ЛИПЕНЬ,Другий місяць літа,6
СЕРПЕНЬ,Останній місяць літа,7
ВЕРЕСЕНЬ,Перший місяць осені,8
ЖОВТЕНЬ,Другий місяць осені,7
ЛИСТОПАД,Останній місяць осені,8
ГРУДЕНЬ,Перший місяць зими,7
ПОНЕДІЛОК,Перший день робочого тижня,9
ВІВТОРОК,Другий день тижня,8
СЕРЕДА,Третій день тижня,6
ЧЕТВЕР,Передостанній робочий день тижня,6
СУБОТА,Перший вихідний день тижня,6
НЕДІЛЯ,Останній день тижня,6
ВЕСНА,Пора року між зимою і літом,5
ЛІТО,Найтепліша пора року,4
ОСІНЬ,Пора року між літом і зимою,5
ЗИМА,Найхолодніша пора року,4
МИНУЛЕ,Те, що вже відбулося,6
ТЕПЕРІШНЄ,Те, що відбувається зараз,9
МАЙБУТНЄ,Те, що ще тільки відбудеться,8
ВЧОРА,День перед сьогоднішнім,5
СЬОГОДНІ,Поточний день,8
ЗАВТРА,День після сьогоднішнього,6
ПОЗАВЧОРА,Два дні тому,9
ПІСЛЯЗАВТРА,Через два дні від сьогодні,11
КВАРТАЛ,Чверть року,7
СЕМЕСТР,Половина навчального року,7
ВІДПУСТКА,Період відпочинку від роботи,9
ЮВІЛЕЙ,Урочиста річниця важливої дати,6
РІЧНИЦЯ,Дата, що повторюється щороку,7
РОЗКЛАД,План подій у часі,7
ТАЙМЕР,Пристрій для відліку заданого проміжку часу,6
ХРОНОМЕТР,Точний прилад для вимірювання часу,9
ЕОН,Величезний геологічний проміжок часу,3
