word,clue,length
МОЛОТОК,Інструмент для забивання цвяхів,7
ВИКРУТКА,Інструмент для закручування шурупів,8
ПИЛКА,Інструмент із зубцями для розрізання дерева,5
РУБАНОК,Інструмент для вирівнювання поверхні дерева,7
ДОЛОТО,Інструмент для видовбування пазів у дереві,6
СВЕРДЛО,Робоча частина дриля, що заглиблюється в матеріал,7
ДРИЛЬ,Інструмент для свердління отворів,5
ШУРУПОВЕРТ,Електричний інструмент замість викрутки,10
БОЛГАРКА,Інструмент для різання й шліфування металу,8
ЛОБЗИК,Інструмент для фігурного випилювання,6
РАШПИЛЬ,Груба тертка по дереву чи металу,7
НАПИЛОК,Інструмент для стирання й загострення металу,7
ЦВЯХ,Гострий металевий стрижень для забивання,4
ШУРУП,Гвинт із загостреним кінцем для дерева,5
ГАЙКА,Деталь із різьбовим отвором під болт,5
БОЛТ,Стрижень з різьбою й голівкою під ключ,4
ДЮБЕЛЬ,Пластиковий вкладиш під шуруп у стіні,6
СТРУБЦИНА,Пристрій для стискання деталей під час роботи,9
РІВЕНЬ,Інструмент для перевірки горизонталі,6
РУЛЕТКА,Стрічка з поділками для вимірювання довжини,7
ДРАБИНА,Конструкція зі щаблями для підйому нагору,7
ВЕРСТАК,Робочий стіл майстра з тисками,7
КУВАЛДА,Важкий великий молот на довгому держаку,7
СОКИРА,Інструмент з лезом на держаку для рубання,6
МАСТИКА,В'язка суміш для замазування щілин,7
ГЕРМЕТИК,Засіб для ущільнення й захисту від вологи,8
СКОТЧ,Липка стрічка для пакування,5
ІЗОЛЕНТА,Липка стрічка для ізоляції проводів,8
ТРУБА,Порожнистий виріб для проведення рідини чи газу,5
КРАН,Пристрій для перекривання потоку води,4
ЗАСУВКА,Рухома планка для замикання дверей,7
ПЕТЛЯ,Металева деталь, на якій тримаються двері,5
ЗАЩІПКА,Пружинний затискач,7
КАСКА,Захисний головний убір робітника,5
РЕСПІРАТОР,Маска для захисту органів дихання від пилу,10
