word,clue,length
ЛЯЛЬКА,Іграшка у вигляді людини,6
МЯЧ,Круглий предмет для гри,3
ВОВЧОК,Іграшка, що обертається на вістрі,6
БУБЛИК,Кільце для дитячого плавання,6
КУБИК,Об'ємна іграшка з шести граней,5
ПІРАМІДКА,Іграшка з кілець, нанизаних за розміром,9
КОНСТРУКТОР,Набір деталей для складання моделей,11
ПАЗЛ,Картинка, розрізана на фрагменти,4
БРЯЗКАЛЬЦЕ,Дитяча іграшка, що торохтить,10
БАРАБАН,Ударний музичний інструмент чи іграшка,7
КАЛЕЙДОСКОП,Трубка з візерунками при обертанні,11
ЛУК,Зброя для стрільби стрілами,3
РОГАТКА,Пристрій для метання каменів гумкою,7
ВІТРЯК,Іграшка з лопатями, що крутиться на вітрі,6
ЗМІЙ,Іграшка на нитці, що літає в небі,4
