word,clue,length
АВТОБУС,Великий пасажирський транспорт на колесах для маршруту,7
ТРОЛЕЙБУС,Міський транспорт, що живиться від дротів угорі,9
ТРАМВАЙ,Міський транспорт, що рухається рейками вулицею,7
ПОТЯГ,Транспорт із вагонів, що рухається залізницею,5
ЕЛЕКТРИЧКА,Приміський потяг, що курсує між містом і передмістям,10
МЕТРО,Підземний швидкісний міський транспорт,5
ТАКСІ,Легковий транспорт з водієм за платню,5
ВАНТАЖІВКА,Великий транспорт для перевезення важких речей,10
ФУРА,Великий вантажний транспорт з причепом,4
ПРИЧІП,Візок без двигуна, який тягне інший транспорт,6
МОПЕД,Легкий двоколісний транспорт з малим двигуном,5
СКУТЕР,Малий двоколісний транспорт зі спільною платформою для ніг,6
ЛІТАК,Крилатий транспорт для польотів у повітрі,5
ВЕРТОЛІТ,Літальний апарат з обертовим гвинтом угорі,8
ПЛАНЕР,Безмоторний літальний апарат, що ширяє,6
ДЕЛЬТАПЛАН,Крилатий апарат для польоту без двигуна,10
КОРАБЕЛЬ,Велике судно для плавання морем,8
ЧОВЕН,Невелике судно для плавання по воді,5
КАТЕР,Невелике моторне судно,5
ПОРОМ,Судно для перевезення через водну перепону,5
БАРЖА,Плоскодонне судно для вантажів,5
КОЛЕСО,Кругла деталь, що котиться по дорозі,6
ШИНА,Гумове покриття колеса,4
КЕРМО,Пристрій для керування напрямком руху,5
ПЕДАЛЬ,Важіль, на який тиснуть ногою,6
ГАЛЬМО,Пристрій для зупинки руху,6
КАПОТ,Кришка над двигуном спереду,5
БАГАЖНИК,Відділення для речей у транспорті,8
БАМПЕР,Захисна планка спереду чи ззаду кузова,6
ФАРА,Прилад освітлення дороги спереду,4
КУЗОВ,Основна частина транспорту без ходової,5
САЛОН,Внутрішнє приміщення транспорту для пасажирів,5
СИДІННЯ,Місце для розташування пасажира,7
БЕНЗИН,Пальне для двигунів внутрішнього згоряння,6
ДИЗЕЛЬ,Пальне важче за бензин, або двигун на ньому,6
ПАЛИВО,Речовина, що дає енергію для руху двигуна,6
ЗАПРАВКА,Місце для поповнення пального,8
ГАРАЖ,Приміщення для зберігання транспорту,5
ПАРКОВКА,Місце для тимчасового стояння транспорту,8
СВІТЛОФОР,Пристрій, що регулює рух кольоровими сигналами,9
ПЕРЕХРЕСТЯ,Місце перетину доріг,10
ТРОТУАР,Доріжка для пішоходів уздовж дороги,7
ШОСЕ,Широка дорога для швидкого руху,4
АВТОСТРАДА,Багатосмугова швидкісна дорога між містами,10
ЕСТАКАДА,Піднята над землею ділянка дороги,8
ТУНЕЛЬ,Підземний прохід для транспорту,6
МІСТ,Споруда для переїзду через перешкоду,4
ШЛАГБАУМ,Рухома перепона, що перекриває проїзд,8
ЗНАК,Позначення правил на узбіччі дороги,4
СМУГА,Одна з паралельних частин дороги для руху,5
ПАСАЖИР,Той, кого перевозять у транспорті,7
ВОКЗАЛ,Будівля для очікування потягів,6
АЕРОПОРТ,Комплекс для зльоту й посадки літаків,8
ПОРТ,Місце стоянки суден для завантаження,4
ПРИЧАЛ,Місце біля берега для швартування судна,6
ШТУРМАН,Той, хто прокладає курс руху судна чи літака,7
СТЮАРД,Чоловік, що обслуговує пасажирів у польоті,6
КОНТРОЛЕР,Той, хто перевіряє квитки в транспорті,9
