word,clue,length
ОСИКА,Дерево з листям, що тремтить від найменшого вітру,5
ГОРІХ,Дерево з твердою шкаралупою плодів,5
ЛІЩИНА,Кущ із дрібними горішками восени,6
ГЛІД,Колючий кущ із дрібними червоними плодами,4
ТЕРЕН,Колючий кущ із терпкими темними плодами,5
БУЗИНА,Кущ із гронами дрібних чорних ягід,6
АКАЦІЯ,Дерево з духмяними білими гронами навесні,6
КАТАЛЬПА,Дерево з великим листям і довгими стручками,8
МАГНОЛІЯ,Дерево з великими воскоподібними квітами,8
ЕВКАЛІПТ,Дерево, яким живляться коали,8
ПАЛЬМА,Дерево тропічних узбереж без гілок на стовбурі,6
БАОБАБ,Товстенне африканське дерево-довгожитель,6
БАМБУК,Дерев'янистий злак, що росте надзвичайно швидко,6
ФІКУС,Кімнатна рослина з великим глянцевим листям,5
ДРАЦЕНА,Кімнатна рослина, схожа на пальму,7
КАКТУС,Колюча рослина посушливих регіонів,6
АНЕМОНА,Ніжна лісова квітка, що тремтить на вітрі,7
КРОКУС,Одна з перших весняних квіток після снігу,6
ГІАЦИНТ,Весняна квітка з густим гроном і сильним ароматом,7
ВЕРБЕНА,Дрібноквіткова садова рослина з довгим цвітінням,7
ПЕТУНІЯ,Популярна балконна квітка з лійкоподібними пелюстками,7
ФЛОКС,Садова квітка з густими суцвіттями,5
ЛЕВКОЙ,Запашна садова квітка з м'якими пелюстками,6
НАСТУРЦІЯ,Їстівна квітка з листям, схожим на щит,9
ЧОРНОБРИВЦІ,Оранжево-жовта квітка - символ українського городу,11
ЕДЕЛЬВЕЙС,Рідкісна гірська квітка, символ альпінізму,9
ЛОТОС,Священна водяна квітка Сходу,5
ЛАТАТТЯ,Водяна квітка з плоским листям на воді,7
НЕЗАБУДКА,Крихітна блакитна квітка на згадку,9
ДЗВІНОЧОК,Лугова квітка у формі дзвона,9
