word,clue,length
АНАНАС,Колючий тропічний плід з султаном листя зверху,6
МАНГО,Соковитий тропічний плід з великою кісточкою,5
ПАПАЙЯ,Оранжевий тропічний плід з дрібним чорним насінням,6
КОКОС,Твердий волохатий плід пальми з молоком усередині,5
БАНАН,Довгастий жовтий тропічний плід,5
АВОКАДО,Маслянистий зелений тропічний плід,7
КІВІ,Плід з волохатою шкіркою й зеленою м'якоттю,4
ГУАВА,Ароматний тропічний плід з рожевою м'якоттю,5
МАРАКУЙЯ,Тропічний плід з кислуватим желеподібним вмістом,8
ПОМЕЛО,Найбільший цитрусовий плід,6
ЛАЙМ,Дрібний зелений цитрусовий плід,4
ЛІЧІ,Дрібний тропічний плід з ніжною білою м'якоттю,4
ДРАКОНІВ,Плід ..., рожевий з лускатою шкіркою,8
КАРАМБОЛА,Зірчастий за формою тропічний плід,9
ФЕЙХОА,Зелений плід з ароматом ананаса й полуниці,6
