word,clue,length
ОЛЕГ,"Князь, що заснував державу з центром у Києві",4
ІГОР,"Син Рюрика, князь, убитий деревлянами",4
ОЛЬГА,"Перша князівна-християнка, помстилася за чоловіка",5
СВЯТОСЛАВ,"Князь-воїн, що казав ворогам іду на ви",9
ВОЛОДИМИР,"Князь, що хрестив Русь у 988 році",9
ЯРОСЛАВ,"Князь на прізвисько Мудрий, будівничий Софії",7
ІЗЯСЛАВ,Один із синів Ярослава Мудрого на престолі,7
МСТИСЛАВ,"Князь, суперник Ярослава за владу над Руссю",8
ДАНИЛО,Король Галицько-Волинського князівства,6
РЮРИК,Легендарний засновник князівської династії,5
АСКОЛЬД,Один із перших відомих київських князів,7
КИЙ,Легендарний засновник Києва,3
НЕСТОР,"Чернець-літописець, автор Повісті временних літ",6
ІЛАРІОН,"Перший митрополит-русин, автор Слова про закон",7
КОЗАК,Вільний воїн-степовик доби Гетьманщини,5
ГЕТЬМАН,Виборний очільник козацького війська,7
СІЧ,Укріплений табір запорізьких козаків,3
ЗАПОРІЖЖЯ,"Земля за порогами, де жили козаки",9
СТАРШИНА,Козацька військова і адміністративна еліта,8
РЕЄСТР,"Список козаків, узятих на державну службу",6
БОГДАН,"Гетьман, що уклав союз із Москвою 1654 року",6
МАЗЕПА,"Гетьман, що уклав союз зі шведським королем",6
ДОРОШЕНКО,Гетьман Правобережної України часів Руїни,9
ВИГОВСЬКИЙ,"Гетьман, автор Гадяцького договору",10
ПОЛУБОТОК,"Наказний гетьман, ув'язнений у Петропавлівській фортеці",9
САГАЙДАЧНИЙ,"Гетьман, що ходив у морські походи на чайках",11
ОРЛИК,"Гетьман-емігрант, автор першої конституції",5
РУЇНА,Період занепаду й розколу Гетьманщини,5
ЧАЙКА,Легкий козацький морський човен,5
БУЛАВА,Символ гетьманської влади,6
ПЕРНАЧ,Символ влади козацького полковника,6
ХОРУГВА,Козацький військовий прапор,7
ПОЛК,Військово-територіальна одиниця Гетьманщини,4
СОТНЯ,Менша військова одиниця в складі козацького полку,5
ПАНЩИНА,Примусова праця селян на пана,7
ПЕРЕЯСЛАВ,"Місто, де 1654 року відбулася історична рада",9
УНІВЕРСАЛ,Урядовий указ часів Гетьманщини та УНР,9
КОНСТИТУЦІЯ,"Основний закон, який Пилип Орлик уклав 1710 року",11
ГРАМОТА,Офіційний писемний документ давніх часів,7
ДОГОВІР,Письмова угода між державами чи правителями,7
ЛІТОПИС,Історичний твір із записами подій за роками,7
ПЕТЛЮРА,Голова Директорії УНР,7
ВИННИЧЕНКО,"Перший голова Директорії, письменник",10
ГРУШЕВСЬКИЙ,"Перший президент Центральної Ради, історик",11
ДИРЕКТОРІЯ,Уряд УНР після Гетьманату Скоропадського,10
РАДА,Центральний орган влади УНР у 1917-1918 роках,4
ЗЛУКА,Об'єднання УНР і ЗУНР в один акт 1919 року,5
КРУТИ,Місце бою студентів проти більшовиків 1918 року,5
ГОЛОДОМОР,Трагедія українського села на початку тридцятих років,9
РЕПРЕСІЇ,Масові переслідування за радянської влади,8
ГУЛАГ,Система радянських таборів примусової праці,5
ДИСИДЕНТ,"Той, хто відкрито не погоджувався з режимом",8
ЧОРНОБИЛЬ,Місце ядерної аварії 1986 року,9
ПЕРЕБУДОВА,Політика реформ в СРСР кінця 1980-х,10
СУВЕРЕНІТЕТ,Незалежність держави у прийнятті власних рішень,11
РЕФЕРЕНДУМ,Всенародне голосування щодо важливого питання,10
МАЙДАН,"Центральна площа Києва, символ протестів",6
РЕВОЛЮЦІЯ,Різка й докорінна зміна суспільного ладу,9
ГІДНІСТЬ,"Цінність, за яку боролися на Майдані 2014 року",8
НЕБЕСНА,"Означення сотні, що загинула на Майдані 2014 року",7
АТО,Скорочена назва воєнної операції на Донбасі,3
ОБОРОНА,Захист країни від збройного нападу,7
ІМПЕРІЯ,Велика держава з підкореними народами,7
ІМПЕРАТОР,"Монарший титул, вищий за короля",9
ЦАР,Титул монарха в Московській державі,3
ПОЛЬЩА,"Сусідня держава, що довго володіла Правобережжям",6
ЛИТВА,"Велике князівство, що приєднало руські землі",5
АВСТРІЯ,"Імперія, що володіла Галичиною і Буковиною",7
ТАТАРИ,"Кочовий народ, що здійснював набіги на Русь",6
МОНГОЛИ,"Кочові завойовники, що зруйнували Київ 1240 року",7
ПОЛОВЦІ,Кочовий народ-суперник Русі у степах,7
ПЕЧЕНІГИ,"Кочовий народ, що облягав Київ за Володимира",8
ОРДА,"Кочове військо, що встановило іго над Руссю",4
ХАН,Титул монгольського чи татарського правителя,3
ВІЗАНТІЯ,"Імперія, звідки Русь прийняла християнство",8
ЕПОХА,Тривалий період в історії з певними ознаками,5
СТОЛІТТЯ,Період у сто років,8
ДИНАСТІЯ,Ряд правителів з одного роду,8
ПРЕСТОЛ,"Трон, місце правителя",7
ТРОН,Крісло монарха як символ влади,4
ВІЙНА,Збройний конфлікт між державами чи народами,5
БИТВА,Велике збройне зіткнення військ,5
ПОВСТАННЯ,Збройний виступ проти влади,9
ЗАКОН,"Обов'язкове для виконання правило, ухвалене владою",5
ВІЧЕ,Народні збори в давній Русі,4
БОЯРИН,Представник вищої знаті в давній Русі,6
ДРУЖИНА,Військовий загін при князеві,7
КНЯЗЬ,Правитель удільної землі за часів Русі,5
КНЯГИНЯ,Дружина або правителька-жінка князівства,7
ЦЕРКВА,Релігійна споруда або організація віруючих,6
МОНАСТИР,Обитель ченців або черниць,8
