word,clue,length
БОРЩ,Червоний суп з буряком,4
ВАРЕНИКИ,Виліплені з тіста вироби з начинкою,8
ГОЛУБЦІ,Фарширована капустяним листям страва,7
ДЕРУНИ,Смажені страви з тертої картоплі,6
КУЛІШ,Рідка страва з пшона та сала,6
КАПУСНЯК,Кислий суп з бочкового овоча,8
СОЛЯНКА,Гострий суп з різними видами м'яса,7
БАНОШ,Гуцульська страва з кукурудзяної муки на сметані,5
МАМАЛИГА,Густа каша з кукурудзяного борошна,8
ХОЛОДЕЦЬ,Застигла страва з м'ясного бульйону,8
КОВБАСА,М'ясний виріб у оболонці,7
САЛО,Шар підшкірного жиру свині,4
УЗВАР,Напій з вареними сухофруктами,5
КИСІЛЬ,Густий солодкий напій із крохмалем,6
ПАМПУШКА,Пухка булочка з часниковою заправкою,8
