word,clue,length
ВОДОРОСТІ,Рослини, що ростуть у воді без коренів,9
КОРАЛ,Твердий скелет колонії морських поліпів,5
МЕДУЗА,Прозора драглиста морська істота зі щупальцями,6
МОРСЬКА,Зірка ..., промениста мешканка дна океану,7
КРАБ,Ракоподібне з клешнями і панциром,4
ОМАР,Велика морська ракоподібна тварина з клешнями,4
КРЕВЕТКА,Дрібна ракоподібна морська тварина,8
МІДІЯ,Двостулковий молюск, що прикріплюється до каменів,5
УСТРИЦЯ,Двостулковий молюск з перловою оболонкою,7
КАЛЬМАР,Головоногий молюск з довгим тілом і щупальцями,7
ОКТОПУС,Головоногий молюск з вісьмома щупальцями,7
МОРСЬКИЙ,Коник ..., дрібна риба з конячою головою,8
СКАТ,Плоска хрящова риба з широкими плавцями,4
АКУЛА,Хижа хрящова риба з гострими зубами,5
МУРЕНА,Довга хижа риба, що ховається в розколинах рифу,6
