word,clue,length
ГОРОБЕЦЬ,Дрібний сірувато-коричневий міський птах,8
ГОЛУБ,Птах, що воркує на майданах міста,5
ГАЛКА,Дрібна чорно-сіра птаха родини воронових,5
ВОРОНА,Велика чорно-сіра розумна птаха,6
СОРОКА,Чорно-біла птаха з довгим хвостом і любов'ю до блискучого,6
ШПАК,Темний блискучий співочий птах, що імітує звуки,4
ЛАСТІВКА,Прудка птаха, що будує гніздо з глини під дахом,8
СТРИЖ,Швидкий птах, що майже не сідає на землю,5
ЗОЗУЛЯ,Птаха, що підкидає яйця в чужі гнізда,6
СИНИЦЯ,Дрібна жовто-синя зимова пташка,6
ДЯТЕЛ,Птах, що довбає дерево дзьобом у пошуках комах,5
СОВА,Нічний хижий птах з великими очима,4
ІНДИК,Домашня птаха з характерним червоним наростом,5
КАЧКА,Водоплавна свійська чи дика птиця,5
ГУСКА,Велика водоплавна свійська птиця,5
