word,clue,length
МАЛЮВАТИ,Створювати зображення фарбами чи олівцем,8
ЛІПИТИ,Створювати форму з м'якого матеріалу,6
ВИРІЗАТИ,Робити фігуру, видаляючи зайве гострим інструментом,8
ГРАВІЮВАТИ,Наносити зображення різцем на тверду поверхню,10
ВИШИВАТИ,Прикрашати тканину узором за допомогою голки,8
ТКАТИ,Виготовляти тканину переплетенням ниток,5
ВЯЗАТИ,Виготовляти виріб із петель нитки чи пряжі,6
ПЛЕСТИ,Створювати виріб переплетенням гнучких матеріалів,6
СКЛАДАТИ,Створювати вірш, пісню чи мелодію,8
СПІВАТИ,Видавати мелодійні звуки голосом,7
ГРАТИ,Видобувати звуки з музичного інструмента,5
ДИРИГУВАТИ,Керувати виконанням музичного твору,10
ФАНТАЗУВАТИ,Створювати щось без попереднього плану,11
РЕПЕТИРУВАТИ,Готувати виступ через повторення,12
АПЛОДУВАТИ,Плескати в долоні на знак схвалення,10
