word,clue,length
ВУЛКАН,Гора з отвором, що вивергає розплавлену породу,6
ЛАВА,Розплавлена порода, що виливається з надр,4
МАГМА,Розплавлена порода під земною корою,5
КРАТЕР,Заглибина на вершині вулкана,6
ВИВЕРЖЕННЯ,Різкий викид лави й попелу з вулкана,10
ПОПІЛ,Дрібні часточки після виверження,5
ЛАПІЛІ,Дрібні уламки застиглої лави,6
ГЕЙЗЕР,Джерело, що періодично викидає гарячу воду,6
ФУМАРОЛА,Отвір, з якого виходять вулканічні гази,8
СЕЙСМОГРАФ,Прилад для реєстрації землетрусів,10
ЗЕМЛЕТРУС,Раптове коливання земної кори,9
ЕПІЦЕНТР,Точка на поверхні над вогнищем поштовху,8
ТЕКТОНІКА,Наука про рух літосферних плит,9
МАГМАТИЧНА,Порода ..., що утворилась із застиглої розплавленої маси,10
ПЕМЗА,Легка пориста вулканічна порода,5
