word,clue,length
МЕЧ,Прямий клинок для рубання й колення,3
КИНДЖАЛ,Короткий обосічний клинок,7
АЛЕБАРДА,Древкова зброя з сокирою й вістрям,8
ПАЛИЦЯ,Простий дерев'яний засіб для удару,6
БАТІГ,Гнучкий засіб для удару ремінцем,5
ПРАЩА,Древній засіб для метання каменя,5
АРБАЛЕТ,Механізований лук зі спусковим гачком,7
КОЛЧАН,Футляр для стріл лучника,6
ЛАТИ,Металевий обладунок воїна,4
КОЛЬЧУГА,Обладунок із металевих кілець,8
ЩИТ,Засіб захисту від ударів у руці,3
ЗАБРАЛО,Рухома частина шолома, що закриває обличчя,7
ЛУЧНИК,Воїн, озброєний луком,6
ПАСТКА,Пристрій для впіймання звіра,6
МАНОК,Пристрій, що імітує голос звіра чи птаха для приваблення,5
ВИСТРІЛ,Постріл із вогнепальної зброї,7
ПРИЦІЛ,Пристрій для наведення зброї на ціль,6
КУРОК,Частина зброї, що спускає ударник,5
ДУЛО,Передня частина ствола зброї,4
ПАТРОН,Набій для вогнепальної зброї,6
ГІЛЬЗА,Металева оболонка набою,6
