word,clue,length
СМЕРЧ,Обертовий стовп повітря великої руйнівної сили,5
ГРАД,Опади у вигляді крижаних кульок,4
ІНІЙ,Білий пухнастий наліт від морозу,4
РОСА,Крапельки вологи на траві вранці,4
ТУМАН,Скупчення дрібних крапель у повітрі,5
ОЖЕЛЕДЬ,Крижана кірка на дорозі,7
ХУРТОВИНА,Сильний вітер зі снігом,9
ЗАМОРОЗОК,Короткочасне зниження температури нижче нуля,9
СПЕКА,Дуже висока температура повітря,5
ЗАСУХА,Тривала відсутність опадів,6
ЗЛИВА,Раптовий сильний дощ,5
БУРЯ,Дуже сильний вітер з опадами,4
ШКВАЛ,Раптовий короткочасний сильний вітер,5
ПОСУХА,Період без дощів, шкідливий для рослин,6
ПОВІНЬ,Затоплення місцевості через розлив річки,6
