word,clue,length
СОКІЛ,Швидкий хижий птах, символ волі,5
ЯСТРУБ,Хижий птах з гострим зором,6
ФІЛІН,Найбільший нічний хижий птах,5
СИЧ,Дрібна нічна хижа пташка,3
ШУЛІКА,Хижий птах, що ширяє в небі,6
ПАВИЧ,Птах з розкішним різнобарвним хвостом,5
СТРАУС,Найбільший нелітаючий птах,6
ПІНГВІН,Нелітаючий птах холодних вод,7
КАЗУАР,Великий нелітаючий птах з роговим наростом,6
КІВІ,Дрібний нелітаючий птах Нової Зеландії,4
ФЛАМІНГО,Рожевий довгоногий птах на болотах,8
ПЕЛІКАН,Птах з великим мішком під дзьобом,7
БАКЛАН,Морський птах-нирець з гачкуватим дзьобом,6
ЧАПЛЯ,Довгонога болотяна птаха з гострим дзьобом,5
КОЛПИЦЯ,Птах з плоским лопатоподібним дзьобом,7
