word,clue,length
КРОПИВА,Рослина, що обпікає при дотику,7
ПОЛИН,Гірка сіра трава степів,5
ЛОПУХ,Рослина з великим круглим листям і колючими суцвіттями,5
ПОДОРОЖНИК,Трава при дорозі з широким листям, що гоїть рани,10
КОНЮШИНА,Трава з трилистим листям і круглими квітками,8
ЧЕБРЕЦЬ,Ароматна степова трава, тим'ян,7
ОСОКА,Трав'яниста рослина вологих місць з гострим листям,5
ХВОЩ,Давня трав'яниста рослина з членистим стеблом,4
ПАПОРОТЬ,Давня рослина без квітів з перистим листям,8
МОХ,Дрібна рослина, що вкриває вологі поверхні,3
ЛИШАЙНИК,Симбіоз гриба й водорості,8
ОМЕЛА,Рослина-паразит на гілках дерев,5
ПЕРЕКОТИПОЛЕ,Суха рослина, що котиться степом від вітру,12
БУРЯН,Небажана дика рослина на полі чи городі,5
КУЩ,Багаторічна дерев'яниста рослина без головного стовбура,3
