word,clue,length
ВИНОГРАД,Ягода, з якої роблять вино,8
ЛОЗА,Стебло виноградної рослини,4
ГРОНО,Скупчення ягід на одному стеблі,5
ВИНОКУРНЯ,Заклад для виготовлення міцних напоїв,9
БОЧКА,Дерев'яна ємність для витримки напою,5
ЧАН,Велика відкрита ємність для бродіння,3
БРОДІННЯ,Процес перетворення цукру на алкоголь,8
ДЕГУСТАЦІЯ,Оцінка смаку й аромату напою,10
СОМЕЛЬЄ,Фахівець з підбору вина,7
ШТОПОР,Пристрій для витягування корка,6
КОРОК,Затичка з кори для пляшки,5
ПОГРІБ,Прохолодне приміщення для зберігання напоїв,6
ВИНОРОБ,Той, хто виготовляє вино,7
ВИТРИМКА,Тривале зберігання напою для дозрівання,8
БУКЕТ,Сукупність ароматів напою,5
