word,clue,length
ПИЛКА,Зубчастий інструмент для розрізання дерева,5
РУБАНОК,Інструмент для вирівнювання поверхні дерева,7
ДОЛОТО,Інструмент для видовбування пазів у дереві,6
СТАМЕСКА,Плоский різальний інструмент столяра,8
ВЕРСТАТ,Обладнання для обробки матеріалу,7
ТИСКИ,Пристрій для затискання деталі,5
ЦВЯХ,Металевий стрижень для скріплення дерева,4
ШУРУП,Гвинт для з'єднання дерев'яних деталей,5
СТРУЖКА,Тонкий завиток дерева після стругання,7
ТИРСА,Дрібні частинки дерева після пиляння,5
ФАНЕРА,Листовий матеріал з тонких шарів деревини,6
ДОШКА,Плоский виріб з розпиляного дерева,5
ВЕРСТАК,Робочий стіл столяра,7
СТОЛЯР,Майстер виробів з дерева,6
ТЕСЛЯ,Майстер, що обробляє дерево сокирою,5
