word,clue,length
ФРАНЦІЯ,Країна Ейфелевої вежі та багетів,7
НІМЕЧЧИНА,Країна пива та автобанів,9
ІСПАНІЯ,Країна фламенко і кориди,7
ІТАЛІЯ,Країна пасти та Колізею,6
ПОРТУГАЛІЯ,Країна фаду й вина на заході Піренейського півострова,10
ШОТЛАНДІЯ,Батьківщина віскі та кілтів,9
ІРЛАНДІЯ,Острів конюшини й ельфів на північному заході Європи,8
НОРВЕГІЯ,Країна фіордів на півночі Європи,8
ШВЕЦІЯ,Скандинавська батьківщина ІКЕА,6
ФІНЛЯНДІЯ,Країна тисячі озер і саун,9
ДАНІЯ,Батьківщина Андерсена й конструктора Лего,5
ПОЛЬЩА,Західний сусід України з Варшавою,6
ЧЕХІЯ,Країна пива й Празького Граду,5
СЛОВАЧЧИНА,Гірська країна з Татрами,10
УГОРЩИНА,Країна гуляшу й термальних купалень,8
РУМУНІЯ,Батьківщина легенди про Дракулу,7
БОЛГАРІЯ,Країна трояндової олії на Балканах,8
ГРЕЦІЯ,Батьківщина Олімпійських ігор,6
ТУРЕЧЧИНА,Країна на двох континентах з Босфором,9
АВСТРІЯ,Батьківщина вальсу й Моцарта,7
ШВЕЙЦАРІЯ,Країна годинників і банків в Альпах,9
БЕЛЬГІЯ,Країна шоколаду та вафель,7
ХОРВАТІЯ,Курортна країна на Адріатиці,8
СЕРБІЯ,Балканська країна зі столицею Белград,6
СЛОВЕНІЯ,Мала альпійська країна біля Адріатики,8
АЛБАНІЯ,Гірська країна навпроти Італії через море,7
МОЛДОВА,Сусідня країна з виноробством,7
БІЛОРУСЬ,Північний сусід України,8
ЛИТВА,Балтійська країна з Вільнюсом,5
ЛАТВІЯ,Балтійська країна з Ригою,6
ЕСТОНІЯ,Найпівнічніша з балтійських країн,7
ІСЛАНДІЯ,Острівна країна гейзерів і вулканів,8
МАЛЬТА,Крихітний острів-держава в Середземному морі,6
КІПР,Острів, поділений на дві частини,4
МОНАКО,Крихітна держава на Рів'єрі з казино,6
АНДОРРА,Держава в Піренеях між Іспанією і Францією,7
КАНАДА,Північноамериканська країна кленового листка,6
МЕКСИКА,Країна текіли й ацтекських пірамід,7
БРАЗИЛІЯ,Найбільша країна Південної Америки,8
АРГЕНТИНА,Батьківщина танго й пампасів,9
ЧИЛІ,Довга вузька країна вздовж узбережжя Тихого океану,4
ПЕРУ,Батьківщина Мачу-Пікчу,4
КОЛУМБІЯ,Країна, названа на честь Колумба,8
ВЕНЕСУЕЛА,Країна з найбільшими запасами нафти,9
ЕКВАДОР,Країна, названа на честь лінії екватора,7
БОЛІВІЯ,Гірська країна без виходу до моря в Андах,7
ПАРАГВАЙ,Країна в серці Південної Америки,8
УРУГВАЙ,Мала країна між Бразилією й Аргентиною,7
КУБА,Острівна держава з сигарами й ромом,4
ЯМАЙКА,Острів регі та бігунів-рекордсменів,6
МАРОККО,Північноафриканська країна з Атласькими горами,7
АЛЖИР,Найбільша за площею країна Африки,5
ТУНІС,Північноафриканська країна з Карфагеном,5
НІГЕРІЯ,Найбільш густонаселена країна Африки,7
КЕНІЯ,Східноафриканська країна сафарі,5
ЕФІОПІЯ,Країна, що ніколи не була колонізована,7
ТАНЗАНІЯ,Батьківщина Кіліманджаро й Занзібару,8
УГАНДА,Країна витоків Нілу в Африці,6
ГАНА,Західноафриканська країна какао,4
СЕНЕГАЛ,Найзахідніша країна Африканського рогу,7
АНГОЛА,Нафтова країна на південному заході Африки,6
ЗАМБІЯ,Країна водоспаду Вікторія,6
НАМІБІЯ,Країна пустелі вздовж Атлантики,7
БОТСВАНА,Країна пустелі Калахарі,8
МОЗАМБІК,Країна на південно-східному узбережжі Африки,8
МАДАГАСКАР,Величезний острів біля берегів Африки,10
КИТАЙ,Найлюдніша країна світу,5
ЯПОНІЯ,Країна вранішнього сонця,6
ІНДІЯ,Найбільша демократія світу,5
ІНДОНЕЗІЯ,Острівна країна з тисячами островів,9
ТАЇЛАНД,Країна храмів і слонів у Південно-Східній Азії,7
МАЛАЙЗІЯ,Країна на півострові та острові Борнео,8
СІНГАПУР,Місто-держава на кінчику Малайського півострова,8
ФІЛІППІНИ,Архіпелаг з понад сімома тисячами островів,9
МОНГОЛІЯ,Країна степів між Росією і Китаєм,8
КАЗАХСТАН,Найбільша країна Центральної Азії,9
УЗБЕКИСТАН,Країна з давніми містами Самарканд і Бухара,10
ТУРКМЕНІСТАН,Пустельна країна біля Каспію,12
АФГАНІСТАН,Гірська країна на перехресті Азії,10
ПАКИСТАН,Країна, відокремлена від Індії у 1947 році,8
БАНГЛАДЕШ,Густонаселена дельтова країна в Азії,9
НЕПАЛ,Країна біля підніжжя Евересту,5
ІЗРАЇЛЬ,Країна на березі Мертвого моря,7
ЙОРДАНІЯ,Країна з давньою Петрою,8
ЛІВАН,Мала середземноморська країна з кедрами,5
СИРІЯ,Країна на схід від Середземного моря,5
ІРАК,Країна між Тигром і Євфратом,4
ІРАН,Персомовна країна на Близькому Сході,4
КУВЕЙТ,Нафтова держава в затоці,6
КАТАР,Багатий газом півострів у затоці,5
ОМАН,Держава на південному сході Аравії,4
ЄМЕН,Країна на південному краю Аравійського півострова,4
АВСТРАЛІЯ,Континент-острів з кенгуру,9
ГРЕНЛАНДІЯ,Найбільший острів планети,10
