word,clue,length
ЄГИПЕТ,Країна фараонів і пірамід на Нілі,6
ШУМЕР,Найдавніша цивілізація Межиріччя,5
ВАВИЛОН,"Місто з висячими садами, одне з чудес світу",7
ПЕРСІЯ,"Давня імперія, суперниця грецьких полісів",6
СПАРТА,Поліс войовничих воїнів Стародавньої Греції,6
АФІНИ,Батьківщина демократії в Стародавній Греції,5
РИМ,"Столиця імперії, що правила Середземномор'ям",3
ГРЕЦІЯ,Батьківщина Олімпійських ігор і філософії,6
КАРФАГЕН,Суперник Риму в Пунічних війнах,8
ТРОЯ,"Місто, здобуте греками завдяки дерев'яному коню",4
МІКЕНИ,Давньогрецька цивілізація бронзової доби,6
ФІНІКІЯ,"Давній народ мореплавців, що дав світові алфавіт",7
АССИРІЯ,Войовнича імперія стародавньої Месопотамії,7
ХЕТИ,"Давній народ Малої Азії, суперник Єгипту",4
ЕТРУСКИ,"Давній народ, що передав звичаї майбутньому Риму",7
КЕЛЬТИ,"Давньоєвропейський народ, предки ірландців і галлів",6
ГУНИ,"Кочовий народ Аттіли, що тіснив Римську імперію",4
ГОТИ,"Германський народ, що завоював Рим",4
ВАНДАЛИ,"Народ, чиє ім'я стало синонімом руйнування",7
СКІФИ,Кочовий народ причорноморських степів,5
САРМАТИ,"Кочовий народ, що змінив скіфів у степах",7
МАЯ,Цивілізація Центральної Америки з точним календарем,3
АЦТЕКИ,"Народ, що будував піраміди в долині Мехіко",6
ІНКИ,Цивілізація гірських терас в Андах,4
МЕСОПОТАМІЯ,Земля між Тигром і Євфратом,11
ІНДІЯ,Батьківщина буддизму та однієї з найдавніших цивілізацій,5
КИТАЙ,Країна з найдовшим оборонним муром світу,5
ЯПОНІЯ,"Острівна держава, батьківщина самураїв",6
МОНГОЛІЯ,Батьківщина найбільшої суходільної імперії,8
ХАЛІФАТ,Ісламська держава під владою наступника пророка,7
ВІЗАНТІЯ,Східна спадкоємиця Римської імперії,8
МАКЕДОНІЯ,"Батьківщина полководця, що дійшов до Індії",9
НУБІЯ,Давнє царство на південь від Єгипту,5
МІНОЙЦІ,Давня цивілізація острова Крит,7
ОЛЬМЕКИ,Найдавніша цивілізація Мезоамерики,7
ФАРАОН,Титул правителя Стародавнього Єгипту,6
КЛЕОПАТРА,Остання цариця елліністичного Єгипту,9
ЦЕЗАР,"Римський диктатор, убитий у сенаті",5
АВГУСТ,Перший імператор Риму,6
НЕРОН,"Імператор, звинувачений у підпалі Риму",5
ХАМУРАПІ,"Вавилонський цар, автор давнього зводу законів",8
ДАРІЙ,"Перський цар, що воював з греками при Марафоні",5
КСЕРКС,"Перський цар, що воював при Фермопілах",6
ПЕРИКЛ,Афінський державний діяч золотого віку демократії,6
СОКРАТ,"Філософ, що вчив через запитання і не лишив творів",6
ПЛАТОН,"Учень Сократа, засновник Академії",6
АРИСТОТЕЛЬ,Учитель Александра Македонського,10
ГОМЕР,Легендарний автор Іліади й Одіссеї,5
ГЕРОДОТ,"Давньогрецький автор, якого звуть батьком історії",7
СПАРТАК,"Раб-гладіатор, що очолив повстання проти Риму",7
ГАННІБАЛ,"Полководець, що перейшов Альпи на слонах",8
КОНСТАНТИН,"Імператор, що зробив християнство державною релігією",10
ЮСТИНІАН,"Візантійський імператор, автор славного зводу законів",8
ЦИЦЕРОН,Римський оратор і державний діяч,7
АЛЕКСАНДР,"Македонський цар, що завоював півсвіту молодим",9
АРХІМЕД,"Давньогрецький мислитель, що кричав еврика",7
КАРЛ,"Франкський король, коронований імператором на Різдво",4
ВІЛЬГЕЛЬМ,"Нормандський герцог, що завоював Англію 1066 року",9
РИЧАРД,Англійський король на прізвисько Левове Серце,6
БАРБАРОССА,Прізвисько німецького імператора з рудою бородою,10
ХРЕСТОНОСЕЦЬ,Учасник військового походу на Святу землю,12
ЛИЦАР,Кінний воїн-дворянин середньовічної Європи,5
ВАСАЛ,"Феодал, підвладний вищому сеньйору",5
СЕНЬЙОР,"Феодальний володар, що мав васалів",7
ЗАМОК,Укріплена резиденція середньовічного феодала,5
ГІЛЬДІЯ,Об'єднання ремісників чи купців у середні віки,7
ЦЕХ,Об'єднання ремісників однієї спеціальності,3
ІНКВІЗИЦІЯ,"Церковний суд, що переслідував єретиків",10
ЄРЕТИК,"Той, хто відступив від офіційного вчення церкви",6
ПАПА,Голова католицької церкви у Ватикані,4
ВІКІНГИ,Мореплавці-завойовники Скандинавії середньовіччя,7
ТАМПЛІЄР,Лицар духовно-військового ордену часів хрестових походів,8
ЧУМА,"Хвороба, що вбила третину населення середньовічної Європи",4
ГІЛЬЙОТИНА,"Пристрій для страти, символ Французької революції",10
КОЛУМБ,"Мореплавець, що відкрив Америку для Європи 1492 року",6
МАГЕЛЛАН,"Мореплавець, чия команда першою обпливла Землю",8
КАРАВЕЛА,Тип корабля доби великих географічних відкриттів,8
КОНКІСТАДОР,Іспанський завойовник Нового Світу,11
КОЛОНІЯ,Заморська територія під владою метрополії,7
МЕТРОПОЛІЯ,"Держава, що володіє колоніями",10
АРМАДА,"Великий іспанський флот, розбитий англійцями 1588 року",6
ПІРАТ,Морський розбійник,5
КОРСАР,Морський розбійник на службі держави,6
РАБОТОРГІВЛЯ,Ганебна торгівля людьми через Атлантику,12
ПЛАНТАЦІЯ,Велике господарство з примусовою працею рабів,9
РЕВОЛЮЦІЯ,Різка й докорінна зміна суспільного ладу,9
БАСТИЛІЯ,"Паризька фортеця-в'язниця, штурм якої почав революцію",8
РЕСПУБЛІКА,Форма правління без спадкового монарха,10
МОНАРХІЯ,Форма правління зі спадковим одноосібним володарем,8
ДЕМОКРАТІЯ,"Влада, що належить народові",10
ДИКТАТУРА,Необмежена влада однієї особи чи групи,9
КОНСТИТУЦІЯ,Основний закон держави,11
ПАРЛАМЕНТ,Законодавчий орган представницької влади,9
АБСОЛЮТИЗМ,Необмежена влада монарха,10
ФЕОДАЛІЗМ,"Суспільний лад, заснований на землеволодінні й службі",9
КАПІТАЛІЗМ,"Лад, заснований на приватній власності й ринку",10
СОЦІАЛІЗМ,Ідеологія суспільної власності на засоби виробництва,9
КОМУНІЗМ,Ідеологія безкласового суспільства без приватної власності,8
АНАРХІЗМ,Ідеологія заперечення будь-якої державної влади,8
НАЦИЗМ,Ідеологія німецького режиму 1930-40-х років,6
ФАШИЗМ,Ультраправа авторитарна ідеологія міжвоєнної Європи,6
ІМПЕРІАЛІЗМ,Політика розширення впливу шляхом підкорення інших країн,11
МАРКС,"Автор Капіталу, засновник наукового комунізму",5
ЛЕНІН,Керівник більшовицької революції 1917 року,5
НАПОЛЕОН,"Французький полководець, коронований імператором",8
ВЕЛЛІНГТОН,"Британський герцог, що переміг при Ватерлоо",10
БІСМАРК,"Канцлер, що об'єднав Німеччину залізом і кров'ю",7
ВІКТОРІЯ,Британська королева найдовшого правління дев'ятнадцятого століття,8
ЛІНКОЛЬН,"Президент, за якого скасували рабство в США",8
ВАШИНГТОН,Перший президент Сполучених Штатів,9
ДЖЕФЕРСОН,Автор Декларації незалежності США,9
ГАРІБАЛЬДІ,"Полководець, що об'єднав Італію",10
БОЛІВАР,Визволитель Південної Америки від іспанського панування,7
ГАНДІ,Лідер ненасильницького руху за незалежність Індії,5
ЧЕРЧІЛЛЬ,Британський прем'єр часів Другої світової війни,8
РУЗВЕЛЬТ,Американський президент часів Великої депресії й війни,8
СТАЛІН,"Радянський диктатор, наступник Леніна",6
ГІТЛЕР,"Диктатор, що розпочав Другу світову війну",6
МУССОЛІНІ,Італійський фашистський диктатор,9
ФРАНКО,Іспанський диктатор середини двадцятого століття,6
МАО,"Комуністичний лідер, що очолив Китай після 1949 року",3
КЕННЕДІ,"Американський президент, убитий у Далласі 1963 року",7
ТЕТЧЕР,Британська прем'єрка на прізвисько залізна леді,6
РЕЙГАН,"Американський президент, актор до політики",6
ГОРБАЧОВ,Останній керівник Радянського Союзу,8
ФРОНТ,Лінія бойового зіткнення армій,5
ОКОП,Земляна траншея для укриття від вогню,4
БЛІЦКРИГ,Тактика блискавичної війни німецької армії,8
ГЕТТО,Ізольований квартал для примусового проживання,5
КОНЦТАБІР,Місце масового ув'язнення й знищення людей,9
ХОЛОКОСТ,Масове знищення євреїв нацистами,8
ОПІР,Підпільна боротьба проти окупаційної влади,4
ПАРТИЗАН,Учасник нерегулярної збройної боротьби в тилу ворога,8
СОЮЗНИКИ,"Держави, що воювали разом проти нацистської Німеччини",8
КАПІТУЛЯЦІЯ,Офіційне визнання поразки у війні,11
ХІРОСІМА,"Японське місто, знищене ядерним ударом 1945 року",8
НАГАСАКІ,"Друге японське місто, що зазнало ядерного удару",8
НОРМАНДІЯ,Місце висадки союзників 1944 року,9
СТАЛІНГРАД,"Місто, де перелом стався у війні на сході 1943 року",10
ПЕРЛХАРБОР,"Гавайська база, атакована Японією 1941 року",10
ВЕРСАЛЬ,"Мирний договір, що завершив Першу світову війну",7
АНТАНТА,Союз держав Першої світової війни проти Німеччини,7
ЦЕПЕЛІН,"Дирижабль, використаний у Першій світовій війні",7
ТРАНШЕЯ,Захисний рів на полі бою Першої світової,7
БЕРЛІН,"Місто, розділене стіною під час холодної війни",6
СТІНА,"Споруда, що розділяла Берлін до 1989 року",5
