word,clue,length
РОМАН,Великий прозовий твір з розгалуженим сюжетом,5
ПОВІСТЬ,Прозовий твір, менший за роман,7
НОВЕЛА,Короткий прозовий твір з несподіваним фіналом,6
ОПОВІДАННЯ,Невеликий прозовий твір,10
ПОЕМА,Великий віршований твір із сюжетом,5
ВІРШ,Твір, побудований у рядки й строфи,4
СОНЕТ,Вірш із чотирнадцяти рядків,6
БАЛАДА,Віршована розповідь про легендарну подію,6
БАЙКА,Коротка алегорична розповідь із мораллю,5
ПРИТЧА,Повчальна алегорична розповідь,6
ЕПОС,Великий розповідний твір про героїчне минуле,4
ТРАГЕДІЯ,Драматичний твір із фатальним фіналом,8
КОМЕДІЯ,Драматичний твір, що викликає сміх,7
ДРАМА,Твір, призначений для сцени,5
МЕЛОДРАМА,Драма з надмірним акцентом на почуттях,9
ФАРС,Комедія з перебільшеними ситуаціями,4
ПАРОДІЯ,Твір, що жартівливо наслідує інший,7
САТИРА,Твір, що висміює вади суспільства,6
ДЕТЕКТИВ,Твір про розкриття злочину,8
ТРИЛЕР,Твір, побудований на напрузі й страху,6
ФЕНТЕЗІ,Твір із чарівним вигаданим світом,7
УТОПІЯ,Опис ідеального вигаданого суспільства,6
АНТИУТОПІЯ,Опис похмурого вигаданого суспільства,10
МЕМУАРИ,Спогади автора про власне життя,7
ЩОДЕННИК,Записи подій із дня в день,8
БІОГРАФІЯ,Опис чужого життєвого шляху,9
ЕСЕ,Короткий прозовий роздум автора,3
НАРИС,Короткий документальний прозовий твір,5
ФЕЛЬЄТОН,Сатиричний газетний твір,8
ЛЕГЕНДА,Переказ про напівреальну подію минулого,7
КАЗКА,Розповідь із чарівними подіями для дітей,5
МІФ,Переказ про богів і героїв давнини,3
ЕПІГРАФ,Цитата перед початком твору,7
ПРОЛОГ,Вступна частина перед основним твором,6
ЕПІЛОГ,Завершальна частина після основного твору,6
РОЗДІЛ,Велика частина книжки,6
СЮЖЕТ,Послідовність подій твору,5
ФАБУЛА,Основа подій, викладена в хронології,6
ПЕРСОНАЖ,Дійова особа твору,8
ГЕРОЙ,Головна дійова особа твору,5
ПРОТАГОНІСТ,Головний позитивний герой твору,11
АНТАГОНІСТ,Головний суперник героя твору,10
НАРАТОР,Той, від чийого імені ведеться розповідь,7
ПИСЬМЕННИК,Той, хто створює прозові твори,10
ПОЕТ,Той, хто складає вірші,4
ДРАМАТУРГ,Той, хто пише твори для театру,9
КРИТИК,Той, хто оцінює твори мистецтва,6
ЧИТАЧ,Той, хто сприймає написаний твір,5
РЕДАКТОР,Той, хто готує рукопис до друку,8
ВИДАВЕЦЬ,Той, хто випускає книжки друком,8
ВИДАВНИЦТВО,Установа, що випускає книжки,11
РУКОПИС,Текст твору до друку,7
ПЕРЕКЛАД,Передання тексту іншою мовою,8
ПЕРЕКЛАДАЧ,Той, хто передає текст іншою мовою,10
ІЛЮСТРАЦІЯ,Малюнок, що супроводжує текст,10
ПСЕВДОНІМ,Вигадане ім'я автора,9
ЖАНР,Тип твору за формою й змістом,4
СТИЛЬ,Манера викладу думок автором,5
АЛЕГОРІЯ,Прихований сенс під конкретним образом,8
ГІПЕРБОЛА,Художнє перебільшення,9
ЕПІТЕТ,Образне означення предмета,6
МЕТАФОРА,Перенесення значення за схожістю,8
ПОРІВНЯННЯ,Зіставлення двох явищ через спільну ознаку,10
АНТИТЕЗА,Протиставлення двох образів чи понять,8
ІРОНІЯ,Прихована насмішка під позитивною формою,6
РИМА,Співзвуччя кінців віршованих рядків,4
РИТМ,Впорядковане чергування наголосів у вірші,4
СТРОФА,Група віршованих рядків, об'єднаних римою,6
ЦИТАТА,Дослівно наведені чужі слова,6
АФОРИЗМ,Стисла влучна думка,7
БІБЛІОТЕКА,Заклад для зберігання й видачі книжок,10
БЕСТСЕЛЕР,Книжка з надзвичайно високим попитом,9
ТРИЛОГІЯ,Твір із трьох частин,8
СЕРІЯ,Кілька творів, об'єднаних сюжетом чи темою,5
ГЛОСАРІЙ,Список пояснених термінів у кінці книжки,8
АНТОЛОГІЯ,Збірка творів різних авторів,9
ХРОНІКА,Розповідь про події в порядку часу,7
САГА,Розлогий переказ про рід чи покоління,4
ШЕКСПІР,Автор трагедій про данського принца й веронських закоханих,7
ДІККЕНС,Автор твору про сирітське дитинство Олівера,7
БАЛЬЗАК,Автор циклу творів під назвою Людська комедія,7
ГЮГО,Автор твору про паризький собор і дзвонаря,4
ДЮМА,Автор пригод трьох мушкетерів,4
ФЛОБЕР,Автор роману про провінційну лікарську дружину,6
МОЛЬЄР,Французький драматург-комедіограф,6
ВОЛЬТЕР,Французький філософ і сатирик доби Просвітництва,7
ГЕТЕ,Німецький автор твору про угоду з Мефістофелем,4
КАФКА,Автор твору про перетворення людини на комаху,5
ГЕССЕ,Німецький автор роману про степового вовка,5
ОРУЕЛЛ,Автор роману про тоталітарне суспільство майбутнього,6
ХЕМІНГУЕЙ,Американський автор твору про старого рибалку,9
СТЕЙНБЕК,Автор твору про Гроно гніву,8
ТВЕН,Автор пригод хлопчика з плоту на Міссісіпі,4
КІПЛІНГ,Автор твору про хлопчика, вихованого вовками,7
УАЙЛЬД,Автор твору про портрет вічно молодого юнака,6
ОСТІН,Британська авторка роману про гордість і упередження,5
БРОНТЕ,Авторка роману про гувернантку й похмурий маєток,6
ТОЛКІН,Автор епопеї про перстень і Середзем'я,6
РОУЛІНГ,Авторка серії про хлопчика-чарівника,7
КРІСТІ,Королева детективного жанру,6
ДОЙЛ,Автор оповідань про лондонського детектива,4
ВЕРН,Автор пригодницьких романів про подорожі,4
МАРКЕС,Автор роману про сто років самотності,6
БОРХЕС,Аргентинський майстер коротких оповідань-лабіринтів,6
КУНДЕРА,Чеський автор роману про нестерпну легкість буття,7
