word,clue,length
ОВЕН,Перший знак зодіаку, символ барана,4
ТЕЛЕЦЬ,Другий знак зодіаку, символ бика,6
БЛИЗНЮКИ,Третій знак зодіаку, символ пари,8
РАК,Четвертий знак зодіаку, символ клешнястої істоти,3
ЛЕВ,П'ятий знак зодіаку, символ гривастого хижака,3
ДІВА,Шостий знак зодіаку, символ незайманої дівчини,4
ТЕРЕЗИ,Сьомий знак зодіаку, символ ваг,6
СКОРПІОН,Восьмий знак зодіаку, символ отруйного членистоногого,8
СТРІЛЕЦЬ,Дев'ятий знак зодіаку, символ кентавра з луком,8
КОЗЕРІГ,Десятий знак зодіаку, символ рогатого копитного,7
ВОДОЛІЙ,Одинадцятий знак зодіаку, символ носія води,7
РИБИ,Дванадцятий знак зодіаку, символ пари риб,4
